Time,Hand:x,Hand:y,Hand:z
232.315,380.93689,330.28433,59.43543
232.732,379.61511,332.7037,61.48975
233.15,378.24173,338.79822,70.31413
233.567,381.46909,342.54388,75.22861
233.984,387.25928,346.22995,77.52277
234.401,387.90549,346.32394,77.11217
234.818,384.14603,344.41846,74.92838
235.235,376.16058,338.59888,75.21972
235.652,287.31354,217.25375,217.02289
236.069,219.31473,134.57938,274.47498
236.486,187.86142,126.804,269.87595
236.903,194.89664,144.97554,262.50833
237.32,295.87927,254.62364,140.75069
237.738,327.63367,268.75113,141.26027
238.155,306.18146,277.73257,136.34903
238.572,302.46146,281.72861,133.20068
238.989,302.85361,288.57825,127.51038
239.406,310.79071,331.33151,115.91183
239.823,323.21854,336.8385,105.68616
240.24,324.92346,332.97787,104.95329
240.657,328.64133,336.41269,111.18708
241.074,323.58392,331.92279,121.67887
241.491,323.99438,332.77435,112.2919
241.908,328.66647,338.3685,114.59305
242.325,312.08234,311.78836,109.51453
242.743,328.82318,322.36148,80.67918
243.16,319.38321,317.3432,98.35678
243.577,318.92902,319.85721,107.70197
243.994,329.47037,319.51315,113.3066
244.411,324.2803,303.72125,127.34134
244.828,330.98117,300.54935,137.20811
245.245,337.33777,287.30182,166.65627
245.662,303.81723,224.19965,263.89453
246.079,280.45859,228.11765,171.78079
246.496,286.15375,232.95226,223.62643
246.913,318.42245,345.10867,159.39046
247.33,311.06805,367.43683,86.23736
247.747,305.68512,353.9256,116.47528
248.165,239.10864,190.91454,269.12149
248.582,161.35783,115.78187,289.12552
248.999,163.64095,150.11894,295.79471
249.416,255.46899,242.43445,158.57315
249.833,294.68054,274.42584,139.4969
250.25,301.32071,278.68738,132.23151
250.667,302.03354,279.10641,135.13069
251.084,302.30948,280.24005,133.19633
251.501,304.75638,282.74564,136.73456
251.918,305.67938,283.10071,135.76396
252.335,306.56619,284.34161,135.86455
252.753,311.39996,285.97128,134.58412
253.17,307.46021,287.73953,137.58751
253.587,295.28253,314.75314,131.50734
254.004,293.99612,331.63235,122.59045
254.421,296.04782,341.60284,111.41634
254.838,302.29807,346.34583,102.43433
255.255,312.34094,349.78598,111.0796
255.672,328.41043,353.40836,125.60181
256.089,332.63745,348.59949,122.09745
256.506,326.63333,342.00577,113.64565
256.923,314.15289,343.97855,134.35022
257.34,310.95535,343.41974,122.57201
257.758,305.54633,329.44925,143.59428
258.175,306.70526,327.33646,142.47589
258.592,317.59311,326.87445,140.866
259.009,319.7836,324.33066,141.98793
259.426,320.10858,297.01578,136.89058
259.843,280.44089,217.01372,230.60493
260.26,285.63257,245.54106,245.10495
260.677,293.72437,281.78323,205.43532
261.094,210.80386,216.76953,280.78961
261.511,105.32943,256.80911,289.73868
261.928,270.20892,239.34338,185.53743
262.345,314.40237,137.76132,370.07175
262.763,168.61986,52.98548,475.1741
263.18,89.56423,106.49526,372.56686
263.597,69.35093,102.68664,345.40109
264.014,77.32301,111.46046,343.19168
264.431,181.72603,205.83936,238.11339
264.848,269.72385,297.43469,140.2807
265.265,287.1712,330.56335,92.91959
265.682,292.81314,337.63321,100.59931
266.099,297.75873,342.0452,98.17248
266.516,297.00839,354.08426,98.93291
266.933,314.96725,358.75104,104.94881
267.35,323.10849,359.15643,98.66797
267.767,327.39148,355.50485,89.70559
268.185,331.52841,350.68921,92.35956
268.602,332.11975,353.91959,101.45476
269.019,335.51309,350.24969,100.11233
269.436,328.68814,348.24716,100.19508
269.853,322.80148,352.66931,116.54266
270.27,306.52908,317.35449,165.77013
270.687,216.04222,170.3961,259.35867
271.104,261.94656,273.63327,223.00752
271.521,275.81821,296.08774,193.22932
271.938,234.60907,176.99506,295.57816
272.355,160.49326,198.69731,375.61441
272.772,255.01633,231.44009,264.10562
273.19,241.51596,178.57394,148.64806
273.607,181.90126,149.13213,91.74724
274.024,176.96234,155.11618,96.49369
274.441,214.54758,218.61705,136.21323
274.858,276.20593,255.48279,139.7453
275.275,300.98428,269.44589,152.13647
275.692,306.32159,266.95938,148.58266
276.109,306.84424,264.11334,147.66289
276.526,308.15115,264.11017,144.37822
276.943,306.7695,264.96356,145.6134
277.36,294.44214,278.27112,148.13686
277.777,296.55478,289.60425,132.27472
278.195,304.11923,293.57321,124.49612
278.612,300.82391,298.81924,120.25747
279.029,318.16718,331.14822,114.3051
279.446,326.28671,332.87106,113.65605
279.863,327.72684,334.1673,108.36714
280.28,319.22095,324.16083,117.60559
280.697,314.05722,327.27994,128.42389
281.114,320.46313,326.34467,127.30319
281.531,321.75842,325.74622,128.7991
281.948,323.56003,321.12405,130.06419
282.365,321.66272,299.31058,149.47958
282.783,320.09204,236.96234,247.40369
283.2,342.05191,190.28323,357.31796
283.617,397.23297,139.74477,316.25952
284.034,406.88705,143.20992,309.36823
284.451,362.47641,132.78046,342.61517
284.868,176.49632,58.71076,502.2601
285.285,127.98122,113.65085,344.55869
285.702,120.88162,83.37768,238.85455
286.119,177.82794,142.69138,241.04694
286.536,244.11244,215.04106,169.5672
286.953,263.22653,251.36942,151.21091
287.37,286.19852,272.50574,127.49842
287.788,294.67606,271.41733,122.12879
288.205,298.96384,270.91629,120.0009
288.622,301.14078,272.10706,114.98096
289.039,302.74139,273.03928,114.1544
289.456,290.099,273.60037,115.74187
289.873,294.69485,283.76221,114.83487
290.29,294.55347,294.54013,121.22097
290.707,315.58218,340.28165,110.82674
291.124,316.71661,336.93689,107.52834
291.541,323.21805,336.88373,107.34651
291.958,324.39713,339.14203,108.65432
292.375,314.7977,327.23718,110.43576
292.793,309.48141,337.8396,110.32171
293.21,297.6127,317.74506,145.19348
293.627,297.35004,313.97174,142.55292
294.044,303.58743,306.25192,148.44608
294.461,299.46158,290.28381,180.42172
294.878,192.41936,262.87888,242.4169
295.295,205.0773,286.12482,230.51007
295.712,270.55005,302.76727,198.68596
296.129,319.94873,143.20328,347.67194
296.546,238.58136,7.36549,461.31216
296.963,179.43498,-35.58744,421.59058
297.38,134.26233,-26.82299,350.47357
297.798,207.73857,123.5528,300.3454
298.215,224.43916,227.98178,178.18524
298.632,249.3676,253.61803,151.40833
299.049,255.87706,259.33582,148.51639
299.466,271.17169,300.71634,140.34064
299.883,283.02072,316.14212,135.27167
300.3,284.49887,317.72601,128.75475
300.717,282.26685,318.40353,123.58113
301.134,287.00668,319.09262,122.68713
301.551,284.30835,317.21747,125.50523
301.968,288.14905,320.90906,119.18403
302.385,302.172,331.05862,124.71201
302.802,312.0437,337.09985,123.23945
303.22,313.93582,338.82443,125.93267
303.637,320.30496,341.48401,133.63765
304.054,324.47522,341.2691,131.21072
304.471,296.7865,328.1694,151.42758
304.888,306.23322,333.58908,144.95607
305.305,308.9827,333.40225,144.24304
305.722,304.41779,340.10501,106.64676
306.139,304.23502,338.74829,83.95325
